block,question,option,percent
demography,Ступень,1 курс бакалавриата/абитуриенты,64
demography,Ступень,1 курс магистратуры,36
demography,Откуда,Иногородние,60
demography,Откуда,Из Москвы,40
demography,Пол,Женский,53
demography,Пол,Мужской,47
problem,Легко ли находить друзей,Очень сложно,38
problem,Легко ли находить друзей,Скорее сложно,33
problem,Легко ли находить друзей,Нейтрально,16
problem,Легко ли находить друзей,Легко,13
problem,Близких друзей за 1-й месяц,0-1,49
problem,Близких друзей за 1-й месяц,2-3,31
problem,Близких друзей за 1-й месяц,4+,20
problem,Барьер для знакомства,Стеснение,42
problem,Барьер для знакомства,Нет повода/места,27
problem,Барьер для знакомства,Мало времени,18
problem,Барьер для знакомства,Сложившиеся компании,13
problem,Одиночество в первые недели,Часто,29
problem,Одиночество в первые недели,Иногда,47
problem,Одиночество в первые недели,Нет,24
problem,Источник инфо о событиях,Чаты/Telegram,40
problem,Источник инфо о событиях,От друзей,27
problem,Источник инфо о событиях,Никак/случайно,18
problem,Источник инфо о событиях,Стенды,15
problem,Инфо разрознена,Да,69
problem,Ходишь на события один,Не хожу - не с кем,38
problem,Ходишь на события один,Хожу но некомфортно,29
problem,Ходишь на события один,Спокойно хожу,33
problem,Что мешает ходить,Не с кем пойти,44
problem,Что мешает ходить,Не знаю что есть,31
problem,Что мешает ходить,Стесняюсь,25
problem,Знакомиться онлайн заранее,Да,73
problem,Круг общения влияет на мотивацию,Сильно,58
problem,Круг общения влияет на мотивацию,Немного,31
problem,Круг общения влияет на мотивацию,Нет,11
need,Хотел бы приложение для вуза,Да,80
need,Что важнее,Связка обоих,56
need,Что важнее,События,24
need,Что важнее,Знакомства,20
need,Позвать вместе на событие,Да,71
need,Групповой чат события нужен,Да,67
need,Видеть куда идут друзья,Да,62
need,Круги общения интересны,Интересно,54
need,XP/ачивки мотивируют,Да,49
need,Установил бы приложение,Точно да,38
need,Установил бы приложение,Скорее да,40
need,Установил бы приложение,Вряд ли,22
prototype,Находка,Звёздочка непонятна,36
prototype,Находка,Неясно с чего начать,31
prototype,Находка,Хотели менять интересы,27
prototype,Находка,Нужен мультивыбор фильтров,22
prototype,Находка,Не видно друзей на событии,20
prototype,Находка,Вкладка Пары лишняя,18
prototype,Находка,Нет общего в свайпе,18
prototype,Находка,Хотели ходить компанией,16
